fecha,pais,crec,crec_12m
2020-01-01,Argentina,-0.5,
2020-01-01,Bolivia,4.2,
2020-01-01,Brasil,0.3,
2020-01-01,Chile,1.5,
2020-01-01,Colombia,3.8,
2020-01-01,Costa Rica,0.7,
2020-01-01,Ecuador,2.8,
2020-01-01,El Salvador,1.2,
2020-01-01,Guatemala,4.2,
2020-01-01,Honduras,3.1,
2020-01-01,México,-0.3,
2020-01-01,Nicaragua,1.4,
2020-01-01,Panamá,12.5,
2020-01-01,Paraguay,5,
2020-01-01,Perú,3.3,
2020-01-01,República Dominicana,4.7,
2020-02-01,Argentina,-2.5,
2020-02-01,Bolivia,0.8,
2020-02-01,Brasil,0.3,
2020-02-01,Chile,3.2,
2020-02-01,Colombia,3.9,
2020-02-01,Costa Rica,2.2,
2020-02-01,Ecuador,-0.8,
2020-02-01,El Salvador,3.4,
2020-02-01,Guatemala,2.3,
2020-02-01,Honduras,2.7,
2020-02-01,México,-0.6,
2020-02-01,Nicaragua,5.3,
2020-02-01,Panamá,-1.4,
2020-02-01,Paraguay,7.8,
2020-02-01,Perú,4.6,
2020-02-01,República Dominicana,5.3,
2020-03-01,Argentina,-11.6,
2020-03-01,Bolivia,-4.1,
2020-03-01,Brasil,-2.2,
2020-03-01,Chile,-3.9,
2020-03-01,Colombia,-6.3,
2020-03-01,Costa Rica,-3,
2020-03-01,Ecuador,-9.6,
2020-03-01,El Salvador,-7.8,
2020-03-01,Guatemala,-4,
2020-03-01,Honduras,-11.4,
2020-03-01,México,-3.3,
2020-03-01,Nicaragua,0.8,
2020-03-01,Panamá,-7.9,
2020-03-01,Paraguay,1,
2020-03-01,Perú,-17.6,
2020-03-01,República Dominicana,-9.4,
2020-04-01,Argentina,-24.4,
2020-04-01,Bolivia,-28.5,
2020-04-01,Brasil,-15.3,
2020-04-01,Chile,-14.6,
2020-04-01,Colombia,-20.3,
2020-04-01,Costa Rica,-10.4,
2020-04-01,Ecuador,-34.4,
2020-04-01,El Salvador,-20.5,
2020-04-01,Guatemala,-9.4,
2020-04-01,Honduras,-20.2,
2020-04-01,México,-22.3,
2020-04-01,Nicaragua,-9.5,
2020-04-01,Panamá,-42.3,
2020-04-01,Paraguay,-13.5,
2020-04-01,Perú,-39.2,
2020-04-01,República Dominicana,-29.8,
2020-05-01,Argentina,-20.2,
2020-05-01,Bolivia,-27.6,
2020-05-01,Brasil,-14.3,
2020-05-01,Chile,-15.8,
2020-05-01,Colombia,-17.6,
2020-05-01,Costa Rica,-11.5,
2020-05-01,Ecuador,-27.4,
2020-05-01,El Salvador,-21.9,
2020-05-01,Guatemala,-10.1,
2020-05-01,Honduras,-21.7,
2020-05-01,México,-24.7,
2020-05-01,Nicaragua,-6.9,
2020-05-01,Panamá,-44.9,
2020-05-01,Paraguay,-6.5,
2020-05-01,Perú,-32.7,
2020-05-01,República Dominicana,-13.6,
2020-06-01,Argentina,-12.2,
2020-06-01,Bolivia,-18.2,
2020-06-01,Brasil,-6.9,
2020-06-01,Chile,-14.1,
2020-06-01,Colombia,-12.7,
2020-06-01,Costa Rica,-7.6,
2020-06-01,Ecuador,-15.4,
2020-06-01,El Salvador,-16.3,
2020-06-01,Guatemala,-7.5,
2020-06-01,Honduras,-11.5,
2020-06-01,México,-13.7,
2020-06-01,Nicaragua,-3.4,
2020-06-01,Panamá,-37.4,
2020-06-01,Paraguay,2.3,
2020-06-01,Perú,-18,
2020-06-01,República Dominicana,-7.1,
2020-07-01,Argentina,-13.2,
2020-07-01,Bolivia,-13.1,
2020-07-01,Brasil,-5.1,
2020-07-01,Chile,-11.9,
2020-07-01,Colombia,-10.8,
2020-07-01,Costa Rica,-10.3,
2020-07-01,Ecuador,-12.6,
2020-07-01,El Salvador,-12,
2020-07-01,Guatemala,-3.7,
2020-07-01,Honduras,-12,
2020-07-01,México,-10,
2020-07-01,Nicaragua,-0.8,
2020-07-01,Panamá,-31.8,
2020-07-01,Paraguay,0.5,
2020-07-01,Perú,-11,
2020-07-01,República Dominicana,-8.8,
2020-08-01,Argentina,-11.4,
2020-08-01,Bolivia,-12.4,
2020-08-01,Brasil,-4.4,
